Game,Game Played,Date,Age,Year,Age(Y),Team,Home Away,Opp,WL,Started,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PM
68,62,3/17/2008,23-078,2008,23,CLE,Away,ORL,L (-14),1,42:14:00,11,22,0.5,1,4,0.25,7,11,0.636,2,7,9,6,0,1,3,1,30,22.4,-7
69,63,3/19/2008,23-080,2008,23,CLE,Home,DET,W (+16),1,41:04:00,11,19,0.579,2,5,0.4,6,7,0.857,3,4,7,6,1,1,0,0,30,29.9,15
70,64,3/21/2008,23-082,2008,23,CLE,Home,TOR,W (+7),1,41:24:00,14,22,0.636,1,3,0.333,0,0,,0,12,12,5,1,0,5,1,29,21.9,-3
71,65,3/22/2008,23-083,2008,23,CLE,Away,MIL,L (-10),1,38:35:00,9,25,0.36,3,9,0.333,8,10,0.8,4,7,11,4,2,0,4,3,29,18.8,-12
72,66,3/26/2008,23-087,2008,23,CLE,Home,NOH,L (-1),1,40:33:00,6,14,0.429,1,2,0.5,8,10,0.8,0,3,3,8,2,2,2,2,21,19.9,-3
73,67,3/29/2008,23-090,2008,23,CLE,Away,DET,L (-14),1,35:18:00,4,17,0.235,1,5,0.2,4,6,0.667,0,4,4,5,0,0,5,0,13,1.6,-19
74,68,3/30/2008,23-091,2008,23,CLE,Home,PHI,W (+3),1,41:47:00,11,18,0.611,1,2,0.5,3,3,1,3,6,9,9,3,1,1,4,26,29.1,7
75,69,4/2/2008,23-094,2008,23,CLE,Away,CHA,W (+4),1,31:13:00,11,19,0.579,1,4,0.25,6,6,1,2,2,4,5,3,2,4,6,29,23.6,3
76,70,4/3/2008,23-095,2008,23,CLE,Home,CHI,L (-3),1,38:30:00,10,24,0.417,3,7,0.429,10,14,0.714,0,5,5,4,2,2,3,4,33,21.7,-1
77,71,4/5/2008,23-097,2008,23,CLE,Home,ORL,L (-15),1,42:22:00,6,22,0.273,1,5,0.2,4,8,0.5,5,2,7,9,2,2,5,1,17,10.8,-15
78,72,4/9/2008,23-101,2008,23,CLE,Home,NJN,W (+21),1,35:22:00,11,21,0.524,1,4,0.25,10,13,0.769,4,3,7,8,1,2,0,2,33,32.4,10
79,73,4/11/2008,23-103,2008,23,CLE,Away,CHI,L (-5),1,38:11:00,13,21,0.619,2,6,0.333,6,12,0.5,0,6,6,2,3,0,3,2,34,24.5,-10
80,74,4/13/2008,23-105,2008,23,CLE,Home,MIA,W (+8),1,35:15:00,3,9,0.333,0,1,0,7,9,0.778,0,11,11,7,1,2,5,1,13,12.3,-3
81,75,4/14/2008,23-106,2008,23,CLE,Away,PHI,W (+1),1,41:41:00,10,18,0.556,1,2,0.5,6,12,0.5,1,3,4,5,2,1,5,3,27,17.6,-5
82,,4/16/2008,23-108,2008,23,CLE,Home,DET,L (-10),,,,,,,,,,,,,,,,,,,,,,
1,1,10/28/2008,23-303,2008,23,CLE,Away,BOS,L (-5),1,36:00:00,9,21,0.429,0,4,0,4,8,0.5,1,6,7,6,2,1,3,4,22,14.1,-3
2,2,10/30/2008,23-305,2008,23,CLE,Home,CHA,W (+17),1,30:16:00,7,15,0.467,0,2,0,8,12,0.667,2,7,9,9,0,1,5,3,22,17,10
3,3,11/1/2008,23-307,2008,23,CLE,Away,NOH,L (-12),1,37:43:00,6,15,0.4,0,3,0,3,4,0.75,2,5,7,13,3,0,5,3,15,15.3,-8
4,4,11/3/2008,23-309,2008,23,CLE,Away,DAL,W (+19),1,34:08:00,8,20,0.4,0,2,0,13,15,0.867,2,6,8,3,2,1,1,1,29,24,13
5,5,11/5/2008,23-311,2008,23,CLE,Home,CHI,W (+14),1,35:50:00,13,23,0.565,0,2,0,15,16,0.938,2,7,9,6,4,0,5,1,41,36,22
6,6,11/7/2008,23-313,2008,23,CLE,Home,IND,W (+4),1,39:20:00,11,24,0.458,1,6,0.167,4,7,0.571,2,7,9,8,1,4,4,2,27,21.5,-3
7,7,11/8/2008,23-314,2008,23,CLE,Away,CHI,W (+9),1,39:12:00,13,29,0.448,4,7,0.571,11,13,0.846,4,9,13,4,0,0,2,1,41,31,12
8,8,11/11/2008,23-317,2008,23,CLE,Home,MIL,W (+6),1,42:46:00,16,24,0.667,1,4,0.25,8,10,0.8,0,5,5,6,3,0,2,2,41,35.7,11
9,9,11/13/2008,23-319,2008,23,CLE,Home,DEN,W (+11),1,38:02:00,10,20,0.5,0,0,,2,4,0.5,1,7,8,11,3,0,5,4,22,18.1,14
10,10,11/15/2008,23-321,2008,23,CLE,Home,UTA,W (+12),1,42:03:00,13,21,0.619,3,7,0.429,9,11,0.818,3,2,5,7,2,2,2,2,38,35.9,33
11,11,11/18/2008,23-324,2008,23,CLE,Away,NJN,W (+24),1,35:58:00,9,20,0.45,1,4,0.25,12,17,0.706,0,8,8,4,0,1,3,3,31,20.3,17
12,12,11/19/2008,23-325,2008,23,CLE,Away,DET,L (-7),1,39:30:00,8,21,0.381,0,4,0,9,10,0.9,1,5,6,6,4,0,3,1,25,20.1,-5
13,13,11/22/2008,23-328,2008,23,CLE,Home,ATL,W (+14),1,36:35:00,8,19,0.421,1,4,0.25,7,7,1,1,6,7,8,2,0,2,3,24,20.8,16
14,14,11/25/2008,23-331,2008,23,CLE,Away,NYK,W (+18),1,30:20:00,7,14,0.5,3,7,0.429,9,11,0.818,0,4,4,1,1,1,1,0,26,20.8,17
15,15,11/26/2008,23-332,2008,23,CLE,Home,OKC,W (+35),1,17:08,7,12,0.583,0,1,0,0,0,,0,3,3,3,1,3,0,0,14,14.5,24
16,16,11/28/2008,23-334,2008,23,CLE,Home,GSW,W (+15),1,30:39:00,9,13,0.692,3,4,0.75,2,4,0.5,1,6,7,8,3,1,2,2,23,25.7,24
17,17,11/29/2008,23-335,2008,23,CLE,Away,MIL,W (+12),1,41:22:00,12,27,0.444,1,5,0.2,7,10,0.7,1,6,7,5,2,1,3,3,32,21.2,7
18,18,12/3/2008,23-339,2008,23,CLE,Home,NYK,W (+36),1,28:09:00,5,10,0.5,1,4,0.25,10,10,1,0,5,5,6,5,1,0,0,21,27.4,30
19,19,12/5/2008,23-341,2008,23,CLE,Home,IND,W (+24),1,37:37:00,4,12,0.333,0,4,0,3,4,0.75,2,6,8,11,1,3,2,2,11,15,32
20,20,12/6/2008,23-342,2008,23,CLE,Away,CHA,W (+20),1,27:40:00,8,17,0.471,2,4,0.5,7,8,0.875,2,3,5,4,2,2,3,3,25,20.2,27
21,21,12/9/2008,23-345,2008,23,CLE,Home,TOR,W (+20),1,30:24:00,11,18,0.611,2,5,0.4,7,8,0.875,0,5,5,4,3,0,2,1,31,27.3,19
22,22,12/10/2008,23-346,2008,23,CLE,Away,PHI,W (+8),1,39:04:00,10,22,0.455,2,6,0.333,7,8,0.875,2,2,4,5,0,2,1,4,29,21.5,-1
23,23,12/12/2008,23-348,2008,23,CLE,Home,PHI,W (+16),1,36:50:00,9,21,0.429,1,4,0.25,9,12,0.75,3,4,7,7,1,3,0,2,28,26.2,13
24,24,12/13/2008,23-349,2008,23,CLE,Away,ATL,L (-5),1,45:40:00,10,19,0.526,2,7,0.286,11,12,0.917,2,4,6,9,4,1,1,2,33,35.1,1
25,25,12/17/2008,23-353,2008,23,CLE,Away,MIN,W (+23),1,39:38:00,14,20,0.7,2,6,0.333,2,4,0.5,0,6,6,3,2,2,0,1,32,29.7,22
26,26,12/19/2008,23-355,2008,23,CLE,Away,DEN,W (+17),1,38:45:00,13,20,0.65,0,2,0,7,8,0.875,3,7,10,8,0,0,6,3,33,26.4,14
27,27,12/21/2008,23-357,2008,23,CLE,Away,OKC,W (+11),1,42:46:00,14,24,0.583,2,4,0.5,1,2,0.5,2,2,4,7,3,1,3,1,31,26.6,16
28,28,12/23/2008,23-359,2008,23,CLE,Home,HOU,W (+9),1,38:20:00,11,23,0.478,0,3,0,5,7,0.714,1,8,9,5,3,1,7,2,27,17,14
29,29,12/25/2008,23-361,2008,23,CLE,Home,WAS,W (+4),1,38:13:00,6,13,0.462,0,2,0,6,10,0.6,0,5,5,6,3,1,3,1,18,15.7,-4
30,30,12/28/2008,23-364,2008,23,CLE,Home,MIA,W (+7),1,42:31:00,12,19,0.632,2,4,0.5,7,12,0.583,0,6,6,9,0,1,2,1,33,28.9,8
31,31,12/30/2008,24-000,2008,24,CLE,Away,MIA,L (-9),1,43:29:00,12,24,0.5,3,8,0.375,11,14,0.786,0,2,2,7,0,2,5,2,38,25.9,-6
32,32,1/2/2009,24-003,2009,24,CLE,Home,CHI,W (+25),1,37:16:00,3,8,0.375,2,3,0.667,8,8,1,1,9,10,11,2,3,5,1,16,21.4,27
33,33,1/4/2009,24-005,2009,24,CLE,Away,WAS,L (-3),1,40:46:00,11,22,0.5,3,9,0.333,5,8,0.625,0,6,6,10,1,2,7,4,30,20.4,0
34,34,1/7/2009,24-008,2009,24,CLE,Home,CHA,W (+30),1,30:59:00,9,16,0.563,0,1,0,3,3,1,0,4,4,4,2,2,4,1,21,16.4,23
35,35,1/9/2009,24-010,2009,24,CLE,Home,BOS,W (+15),1,35:49:00,13,25,0.52,3,7,0.429,9,9,1,1,6,7,6,4,3,3,2,38,34.7,20
36,36,1/13/2009,24-014,2009,24,CLE,Away,MEM,W (+15),1,40:12:00,9,15,0.6,1,5,0.2,11,14,0.786,0,11,11,10,3,1,2,2,30,33.1,21
37,37,1/15/2009,24-016,2009,24,CLE,Away,CHI,L (-9),1,44:19:00,8,28,0.286,1,6,0.167,11,16,0.688,3,11,14,7,1,1,8,4,28,12,2
38,38,1/16/2009,24-017,2009,24,CLE,Home,NOH,W (+14),1,42:59:00,12,24,0.5,0,2,0,5,6,0.833,3,11,14,7,3,1,4,3,29,25.4,19
39,39,1/19/2009,24-020,2009,24,CLE,Away,LAL,L (-17),1,42:10:00,9,25,0.36,1,5,0.2,4,8,0.5,2,7,9,4,4,1,6,1,23,12.1,-11
40,40,1/21/2009,24-022,2009,24,CLE,Away,POR,W (+6),1,42:02:00,14,30,0.467,3,6,0.5,3,4,0.75,0,7,7,14,1,0,2,1,34,28.7,14
41,41,1/23/2009,24-024,2009,24,CLE,Away,GSW,W (+1),1,40:39:00,10,24,0.417,2,5,0.4,10,16,0.625,2,7,9,8,3,2,2,2,32,27.5,12
42,42,1/24/2009,24-025,2009,24,CLE,Away,UTA,W (+5),1,41:08:00,14,27,0.519,1,6,0.167,4,6,0.667,4,10,14,9,1,0,2,1,33,29.6,16
43,43,1/27/2009,24-028,2009,24,CLE,Home,SAC,W (+7),1,37:31:00,5,10,0.5,0,2,0,13,15,0.867,5,10,15,11,0,3,2,1,23,31.1,6
44,44,1/29/2009,24-030,2009,24,CLE,Away,ORL,L (-11),1,37:41:00,10,27,0.37,0,2,0,3,6,0.5,1,7,8,8,1,1,2,1,23,14.6,-9
45,45,1/30/2009,24-031,2009,24,CLE,Home,LAC,W (+17),1,37:08:00,9,17,0.529,2,4,0.5,5,6,0.833,0,7,7,6,3,1,3,2,25,22.5,32
46,46,2/1/2009,24-033,2009,24,CLE,Away,DET,W (+10),1,38:50:00,12,25,0.48,3,8,0.375,6,11,0.545,4,0,4,8,1,1,5,3,33,22.2,-8
47,47,2/3/2009,24-035,2009,24,CLE,Home,TOR,W (+18),1,37:31:00,9,20,0.45,2,5,0.4,13,13,1,1,6,7,4,1,2,3,3,33,26.1,23
48,48,2/4/2009,24-036,2009,24,CLE,Away,NYK,W (+5),1,44:03:00,17,33,0.515,2,7,0.286,16,19,0.842,0,9,9,11,0,2,3,1,52,42.9,7
49,49,2/8/2009,24-040,2009,24,CLE,Home,LAL,L (-10),1,40:08:00,5,20,0.25,2,8,0.25,4,8,0.5,3,5,8,12,0,0,1,1,16,13,-12
50,50,2/10/2009,24-042,2009,24,CLE,Away,IND,L (-1),1,41:10:00,15,21,0.714,4,7,0.571,13,14,0.929,0,7,7,4,1,1,7,1,47,37.1,7
51,51,2/11/2009,24-043,2009,24,CLE,Home,PHO,W (+17),1,33:17:00,9,18,0.5,1,5,0.2,7,8,0.875,2,4,6,6,2,1,3,1,26,22.7,22
52,52,2/18/2009,24-050,2009,24,CLE,Away,TOR,W (+17),1,33:12:00,9,17,0.529,0,3,0,2,2,1,1,8,9,9,1,1,5,1,20,17.4,20
53,53,2/20/2009,24-052,2009,24,CLE,Away,MIL,W (+8),1,40:04:00,16,29,0.552,8,11,0.727,15,22,0.682,1,4,5,9,0,0,6,3,55,39.3,13
54,54,2/22/2009,24-054,2009,24,CLE,Home,DET,W (+21),1,30:34:00,6,13,0.462,0,3,0,8,10,0.8,0,5,5,9,2,1,0,0,20,23,22
55,55,2/24/2009,24-056,2009,24,CLE,Home,MEM,W (+15),1,29:40:00,4,10,0.4,1,2,0.5,6,8,0.75,0,5,5,8,0,1,2,1,15,14.2,13
56,56,2/26/2009,24-058,2009,24,CLE,Away,HOU,L (-19),1,33:51:00,7,21,0.333,2,5,0.4,5,6,0.833,0,1,1,0,1,2,3,4,21,6.8,-14
57,57,2/27/2009,24-059,2009,24,CLE,Away,SAS,W (+11),1,32:08:00,12,23,0.522,3,6,0.5,3,3,1,4,10,14,4,2,0,1,2,30,27.5,29
58,58,3/1/2009,24-061,2009,24,CLE,Away,ATL,W (+1),1,43:43:00,8,20,0.4,2,7,0.286,8,14,0.571,1,5,6,11,1,2,0,3,26,23.9,4
59,59,3/2/2009,24-062,2009,24,CLE,Away,MIA,W (+7),1,43:40:00,13,21,0.619,6,7,0.857,10,10,1,1,7,8,4,1,1,6,4,42,32.2,8
60,60,3/4/2009,24-064,2009,24,CLE,Home,MIL,W (+18),1,33:12:00,7,11,0.636,4,5,0.8,5,7,0.714,1,7,8,4,1,0,3,2,23,20.1,24
61,61,3/6/2009,24-066,2009,24,CLE,Away,BOS,L (-11),1,38:17:00,5,15,0.333,2,5,0.4,9,12,0.75,0,6,6,5,1,0,4,1,21,13.2,-1
62,62,3/7/2009,24-067,2009,24,CLE,Home,MIA,W (+10),1,43:19:00,5,15,0.333,0,3,0,4,7,0.571,2,8,10,12,1,1,2,0,14,16.2,10
63,63,3/10/2009,24-070,2009,24,CLE,Away,LAC,W (+4),1,43:42:00,10,23,0.435,0,6,0,12,16,0.75,4,9,13,11,2,2,4,2,32,30.1,7
64,64,3/12/2009,24-072,2009,24,CLE,Away,PHO,W (+8),1,43:27:00,10,24,0.417,3,8,0.375,11,13,0.846,6,4,10,13,3,3,3,0,34,37,7
65,65,3/13/2009,24-073,2009,24,CLE,Away,SAC,W (+3),1,46:59:00,16,30,0.533,4,11,0.364,15,17,0.882,0,4,4,9,2,3,3,2,51,43.4,6
66,66,3/15/2009,24-075,2009,24,CLE,Home,NYK,W (+5),1,39:52:00,9,17,0.529,0,3,0,1,3,0.333,1,7,8,10,4,3,3,1,19,22.4,-1
67,67,3/17/2009,24-077,2009,24,CLE,Home,ORL,W (+4),1,42:40:00,15,27,0.556,4,7,0.571,9,10,0.9,2,10,12,8,4,1,6,1,43,38,5
68,68,3/19/2009,24-079,2009,24,CLE,Home,POR,W (+5),1,46:47:00,10,22,0.455,0,3,0,6,11,0.545,0,11,11,10,1,2,0,4,26,23.7,-1
69,69,3/21/2009,24-081,2009,24,CLE,Home,ATL,W (+6),1,40:03:00,9,21,0.429,1,4,0.25,3,5,0.6,1,6,7,5,3,1,2,2,22,17,10
70,70,3/22/2009,24-082,2009,24,CLE,Away,NJN,W (+8),1,39:09:00,9,17,0.529,1,4,0.25,11,15,0.733,2,9,11,8,1,0,1,0,30,29.8,14
71,71,3/25/2009,24-085,2009,24,CLE,Home,NJN,W (+11),1,39:06:00,7,14,0.5,1,1,1,7,7,1,1,7,8,11,1,0,1,0,22,25.5,19
72,72,3/27/2009,24-087,2009,24,CLE,Home,MIN,W (+22),1,33:36:00,8,14,0.571,2,3,0.667,7,10,0.7,2,10,12,7,0,0,5,0,25,21.5,25
73,73,3/29/2009,24-089,2009,24,CLE,Home,DAL,W (+28),1,31:19:00,9,22,0.409,2,4,0.5,4,5,0.8,1,5,6,12,1,2,0,0,24,24.8,15
74,74,3/31/2009,24-091,2009,24,CLE,Home,DET,W (+6),1,40:36:00,9,24,0.375,0,2,0,7,8,0.875,1,11,12,3,3,1,1,0,25,20.2,10
75,75,4/2/2009,24-093,2009,24,CLE,Away,WAS,L (-8),1,38:20:00,11,18,0.611,4,8,0.5,5,7,0.714,1,8,9,6,0,0,6,1,31,22.9,-13
76,76,4/3/2009,24-094,2009,24,CLE,Away,ORL,L (-29),1,32:00:00,7,20,0.35,2,5,0.4,10,10,1,1,8,9,5,1,0,2,1,26,20,-26
77,77,4/5/2009,24-096,2009,24,CLE,Home,SAS,W (+20),1,36:43:00,14,21,0.667,2,5,0.4,8,8,1,0,7,7,6,1,0,2,1,38,33.8,7
78,78,4/8/2009,24-099,2009,24,CLE,Home,WAS,W (+12),1,30:51:00,7,15,0.467,0,2,0,7,8,0.875,0,6,6,7,3,0,2,1,21,20.2,25
79,79,4/10/2009,24-101,2009,24,CLE,Away,PHI,W (+10),1,36:34:00,8,17,0.471,1,4,0.25,10,12,0.833,0,2,2,10,0,1,1,4,27,23.2,8
80,80,4/12/2009,24-103,2009,24,CLE,Home,BOS,W (+31),1,30:22:00,9,14,0.643,5,8,0.625,6,6,1,0,4,4,7,1,1,5,1,29,25.2,21
81,81,4/13/2009,24-104,2009,24,CLE,Away,IND,W (+8),1,38:42:00,12,23,0.522,2,7,0.286,11,14,0.786,0,5,5,5,1,0,5,1,37,25.1,8
82,,4/15/2009,24-106,2009,24,CLE,Home,PHI,L (-1),,,,,,,,,,,,,,,,,,,,,,
1,1,10/27/2009,24-301,2009,24,CLE,Home,BOS,L (-6),1,44:55:00,12,22,0.545,4,9,0.444,10,13,0.769,0,4,4,8,2,4,5,4,38,31.2,0
2,2,10/28/2009,24-302,2009,24,CLE,Away,TOR,L (-10),1,39:47:00,7,19,0.368,1,5,0.2,8,14,0.571,2,9,11,12,2,0,4,1,23,20.2,2
3,3,10/30/2009,24-304,2009,24,CLE,Away,MIN,W (+17),1,33:26:00,10,18,0.556,2,3,0.667,2,3,0.667,2,7,9,6,1,1,2,1,24,22,17
4,4,10/31/2009,24-305,2009,24,CLE,Home,CHA,W (+11),1,37:14:00,5,11,0.455,0,1,0,4,6,0.667,1,6,7,9,0,0,4,1,14,11.9,19
5,5,11/3/2009,24-308,2009,24,CLE,Home,WAS,W (+12),1,35:59:00,7,16,0.438,2,7,0.286,11,13,0.846,3,5,8,6,3,0,4,0,27,24.6,5
6,6,11/5/2009,24-310,2009,24,CLE,Home,CHI,L (-1),1,38:13:00,9,17,0.529,1,4,0.25,6,9,0.667,0,7,7,6,1,1,3,0,25,20.5,-1
7,7,11/6/2009,24-311,2009,24,CLE,Away,NYK,W (+9),1,35:37:00,12,17,0.706,2,4,0.5,7,9,0.778,0,8,8,9,3,0,7,3,33,28.6,8
8,8,11/11/2009,24-316,2009,24,CLE,Away,ORL,W (+9),1,39:07:00,13,23,0.565,2,3,0.667,8,9,0.889,2,6,8,4,1,0,4,2,36,26.9,7
9,9,11/12/2009,24-317,2009,24,CLE,Away,MIA,W (+7),1,38:53:00,8,20,0.4,2,4,0.5,16,18,0.889,1,3,4,7,2,1,2,2,34,28.8,6
10,10,11/14/2009,24-319,2009,24,CLE,Home,UTA,W (+4),1,37:33:00,6,15,0.4,0,3,0,9,12,0.75,0,6,6,9,2,1,2,1,21,20.1,6
11,11,11/17/2009,24-322,2009,24,CLE,Home,GSW,W (+6),1,38:32:00,11,19,0.579,1,5,0.2,8,10,0.8,0,5,5,12,1,2,2,2,31,30.8,8
12,12,11/18/2009,24-323,2009,24,CLE,Away,WAS,L (-17),1,35:08:00,12,20,0.6,3,7,0.429,7,8,0.875,0,2,2,9,2,0,6,4,34,25.7,-12
13,13,11/20/2009,24-325,2009,24,CLE,Away,IND,W (+10),1,37:53:00,13,25,0.52,1,3,0.333,13,14,0.929,2,7,9,7,1,1,2,1,40,35,4
14,14,11/21/2009,24-326,2009,24,CLE,Home,PHI,W (+6),1,38:32:00,13,20,0.65,2,4,0.5,4,6,0.667,0,7,7,9,0,0,5,3,32,24.6,11
15,15,11/25/2009,24-330,2009,24,CLE,Away,DET,W (+10),1,38:49:00,12,24,0.5,1,4,0.25,9,11,0.818,1,7,8,7,1,0,5,2,34,24.1,12
16,16,11/27/2009,24-332,2009,24,CLE,Away,CHA,L (-7),1,38:01:00,10,19,0.526,2,7,0.286,3,4,0.75,0,6,6,4,0,0,6,4,25,12.3,3
17,17,11/28/2009,24-333,2009,24,CLE,Home,DAL,W (+16),1,36:21:00,10,20,0.5,0,2,0,5,7,0.714,0,5,5,12,0,0,1,2,25,22.3,8
18,18,12/2/2009,24-337,2009,24,CLE,Home,PHO,W (+17),1,34:37:00,6,15,0.4,0,3,0,0,0,,1,7,8,10,1,1,3,0,12,12.4,19
19,19,12/4/2009,24-339,2009,24,CLE,Home,CHI,W (+14),1,34:12:00,8,17,0.471,1,3,0.333,6,10,0.6,0,6,6,11,0,0,1,1,23,20.8,19
20,20,12/6/2009,24-341,2009,24,CLE,Away,MIL,W (+15),1,32:18:00,4,10,0.4,0,0,,6,7,0.857,1,4,5,10,1,1,5,2,14,13,8
21,21,12/8/2009,24-343,2009,24,CLE,Away,MEM,L (-2),1,44:47:00,14,29,0.483,4,11,0.364,11,12,0.917,4,9,13,6,0,1,5,2,43,32.5,6
22,22,12/9/2009,24-344,2009,24,CLE,Away,HOU,L (-10),1,39:40:00,8,21,0.381,2,4,0.5,9,10,0.9,1,5,6,7,1,1,5,2,27,18.1,-13
23,23,12/11/2009,24-346,2009,24,CLE,Home,POR,W (+5),1,37:36:00,14,24,0.583,1,2,0.5,4,6,0.667,1,6,7,7,1,2,4,1,33,26.4,8
24,24,12/13/2009,24-348,2009,24,CLE,Away,OKC,W (+13),1,38:35:00,16,29,0.552,5,8,0.625,7,10,0.7,0,7,7,6,4,1,1,1,44,38.5,13
25,25,12/15/2009,24-350,2009,24,CLE,Home,NJN,W (+10),1,40:28:00,9,19,0.474,1,5,0.2,4,6,0.667,1,5,6,7,2,0,6,3,23,14.4,7
26,26,12/16/2009,24-351,2009,24,CLE,Away,PHI,W (+7),1,40:17:00,12,26,0.462,3,6,0.5,9,11,0.818,1,5,6,7,3,1,3,2,36,28.8,10
27,27,12/18/2009,24-353,2009,24,CLE,Home,MIL,W (+3),1,38:22:00,6,13,0.462,2,4,0.5,12,14,0.857,1,9,10,8,0,3,6,1,26,23.2,3
28,28,12/20/2009,24-355,2009,24,CLE,Away,DAL,L (-7),1,43:05:00,9,23,0.391,2,6,0.333,5,7,0.714,0,3,3,6,2,2,2,3,25,17,-5
29,29,12/21/2009,24-356,2009,24,CLE,Away,PHO,W (+18),1,38:26:00,11,21,0.524,1,3,0.333,6,6,1,1,5,6,4,2,0,3,3,29,21.5,26
30,30,12/23/2009,24-358,2009,24,CLE,Away,SAC,W (+13),1,43:41:00,14,30,0.467,1,4,0.25,5,7,0.714,4,12,16,10,0,0,2,1,34,28.8,26
31,31,12/25/2009,24-360,2009,24,CLE,Away,LAL,W (+15),1,40:44:00,9,19,0.474,2,7,0.286,6,11,0.545,0,4,4,9,2,1,7,3,26,16.3,8
32,32,12/27/2009,24-362,2009,24,CLE,Home,HOU,W (+25),1,29:26:00,12,20,0.6,2,5,0.4,3,4,0.75,2,3,5,6,3,1,1,0,29,28.6,16
33,33,12/29/2009,24-364,2009,24,CLE,Away,ATL,W (+11),1,39:36:00,6,20,0.3,0,5,0,2,3,0.667,1,7,8,10,5,1,4,2,14,12.7,6
34,34,12/30/2009,25-000,2009,25,CLE,Home,ATL,W (+5),1,43:12:00,15,23,0.652,4,6,0.667,14,16,0.875,3,7,10,6,2,2,3,3,48,44.7,7
35,35,1/2/2010,25-003,2010,25,CLE,Away,NJN,W (+8),1,36:27:00,7,16,0.438,1,4,0.25,13,15,0.867,1,8,9,7,1,2,1,0,28,28.2,10
36,36,1/3/2010,25-004,2010,25,CLE,Home,CHA,L (-3),1,42:51:00,13,21,0.619,2,6,0.333,1,2,0.5,0,7,7,6,1,1,1,3,29,24.9,-2
37,37,1/6/2010,25-007,2010,25,CLE,Home,WAS,W (+23),1,30:50:00,7,12,0.583,1,4,0.25,8,11,0.727,2,5,7,8,1,2,1,0,23,26.1,16
38,38,1/8/2010,25-009,2010,25,CLE,Away,DEN,L (-2),1,41:18:00,12,28,0.429,2,8,0.25,9,13,0.692,2,4,6,7,1,0,8,1,35,18.7,6
39,39,1/10/2010,25-011,2010,25,CLE,Away,POR,W (+12),1,45:16:00,13,19,0.684,3,4,0.75,12,14,0.857,0,10,10,8,0,1,3,1,41,38,16
40,40,1/11/2010,25-012,2010,25,CLE,Away,GSW,W (+3),1,41:37:00,12,23,0.522,1,4,0.25,12,14,0.857,1,7,8,11,2,4,2,1,37,37.8,12
41,41,1/14/2010,25-015,2010,25,CLE,Away,UTA,L (-1),1,40:25:00,12,20,0.6,4,6,0.667,8,12,0.667,1,8,9,6,5,1,5,1,36,32.8,7
42,42,1/16/2010,25-017,2010,25,CLE,Away,LAC,W (+1),1,38:54:00,12,20,0.6,3,6,0.5,5,7,0.714,2,2,4,4,2,1,5,3,32,23.3,-1
43,43,1/19/2010,25-020,2010,25,CLE,Home,TOR,W (+8),1,41:01:00,8,18,0.444,0,7,0,12,14,0.857,0,9,9,11,3,3,3,1,28,29.9,12
44,44,1/21/2010,25-022,2010,25,CLE,Home,LAL,W (+6),1,40:24:00,13,25,0.52,1,9,0.111,10,13,0.769,0,5,5,9,2,1,4,3,37,28.8,5
45,45,1/23/2010,25-024,2010,25,CLE,Home,OKC,W (+1),1,42:38:00,9,19,0.474,6,10,0.6,13,19,0.684,0,9,9,12,1,1,6,2,37,30.9,-1
46,46,1/25/2010,25-026,2010,25,CLE,Away,MIA,W (+1),1,38:31:00,9,23,0.391,2,9,0.222,12,17,0.706,0,9,9,4,1,0,4,3,32,18.8,1
47,47,1/27/2010,25-028,2010,25,CLE,Home,MIN,W (+14),1,30:33:00,3,8,0.375,1,3,0.333,5,6,0.833,0,6,6,11,1,1,3,1,12,15,16
48,48,1/29/2010,25-030,2010,25,CLE,Away,IND,W (+21),1,35:39:00,6,18,0.333,0,4,0,10,17,0.588,0,9,9,13,2,4,5,2,22,19.8,22
49,49,1/31/2010,25-032,2010,25,CLE,Home,LAC,W (+25),1,39:55:00,10,20,0.5,5,6,0.833,7,8,0.875,1,2,3,11,1,0,1,1,32,30.2,15
50,50,2/2/2010,25-034,2010,25,CLE,Home,MEM,W (+16),1,37:07:00,7,14,0.5,1,4,0.25,7,7,1,1,5,6,15,1,1,4,2,22,24.6,19
51,51,2/4/2010,25-036,2010,25,CLE,Home,MIA,W (+16),1,40:06:00,9,16,0.563,1,4,0.25,17,21,0.81,2,5,7,8,2,0,4,1,36,32.9,20
52,52,2/6/2010,25-038,2010,25,CLE,Home,NYK,W (+7),1,43:51:00,17,31,0.548,6,12,0.5,7,7,1,1,7,8,8,5,0,5,2,47,39.7,4
53,53,2/9/2010,25-041,2010,25,CLE,Home,NJN,W (+7),1,42:21:00,13,21,0.619,1,4,0.25,5,9,0.556,0,3,3,11,1,0,3,0,32,27.5,-2
54,54,2/11/2010,25-043,2010,25,CLE,Home,ORL,W (+9),1,45:05:00,10,21,0.476,2,6,0.333,10,12,0.833,1,7,8,13,2,0,3,2,32,30.6,16
55,55,2/18/2010,25-050,2010,25,CLE,Home,DEN,L (-2),1,47:00:00,15,33,0.455,1,9,0.111,12,17,0.706,1,12,13,15,2,4,3,1,43,40.1,-5
56,56,2/19/2010,25-051,2010,25,CLE,Away,CHA,L (-17),1,35:30:00,6,14,0.429,2,6,0.333,8,10,0.8,1,2,3,9,4,0,2,2,22,22.6,-2
