Game,Game Played,Date,Age,Year,Age(Y),Team,Home Away,Opp,WL,Started,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PM
73,73,4/2/2006,21-093,2006,21,CLE,Away,CHA,W (+4),1,41:17:00,13,24,0.542,2,5,0.4,7,9,0.778,1,11,12,8,1,2,3,5,35,29.6,2
74,74,4/4/2006,21-095,2006,21,CLE,Home,PHI,W (+33),1,34:40:00,13,22,0.591,4,10,0.4,7,9,0.778,1,3,4,7,4,0,3,4,37,31.9,15
75,75,4/5/2006,21-096,2006,21,CLE,Away,NYK,L (-2),1,44:48:00,12,24,0.5,4,7,0.571,8,14,0.571,0,2,2,7,3,0,5,3,36,23.9,-2
76,76,4/8/2006,21-099,2006,21,CLE,Away,NJN,W (+6),1,44:09:00,12,26,0.462,0,3,0,13,16,0.813,1,4,5,7,1,0,6,5,37,22.2,5
77,77,4/10/2006,21-101,2006,21,CLE,Away,NOK,W (+2),1,42:07:00,12,24,0.5,0,3,0,8,12,0.667,1,3,4,6,0,0,2,1,32,21.8,3
78,78,4/12/2006,21-103,2006,21,CLE,Away,DET,L (-23),1,31:21:00,8,18,0.444,0,3,0,6,8,0.75,0,3,3,1,0,0,2,0,22,11.4,-11
79,,4/13/2006,21-104,2006,21,CLE,Home,NYK,W (+4),,,,,,,,,,,,,,,,,,,,,,
80,79,4/16/2006,21-107,2006,21,CLE,Away,WAS,L (-12),1,29:32:00,8,16,0.5,0,0,,1,2,0.5,0,5,5,4,1,1,3,2,17,10.8,-17
81,,4/17/2006,21-108,2006,21,CLE,Away,BOS,W (+5),,,,,,,,,,,,,,,,,,,,,,
82,,4/19/2006,21-110,2006,21,CLE,Home,ATL,W (+1),,,,,,,,,,,,,,,,,,,,,,
1,1,11/1/2006,21-306,2006,21,CLE,Home,WAS,W (+3),1,40:38:00,11,24,0.458,2,4,0.5,2,6,0.333,3,7,10,5,0,2,5,2,26,15.3,3
2,2,11/3/2006,21-308,2006,21,CLE,Away,SAS,W (+7),1,41:53:00,14,26,0.538,1,2,0.5,6,11,0.545,1,9,10,4,1,1,2,3,35,25.1,6
3,3,11/4/2006,21-309,2006,21,CLE,Away,CHA,L (-4),1,38:06:00,3,13,0.231,1,3,0.333,9,10,0.9,4,5,9,7,0,1,2,0,16,15.6,-3
4,4,11/7/2006,21-312,2006,21,CLE,Home,ATL,L (-9),1,47:17:00,13,26,0.5,3,8,0.375,5,11,0.455,0,7,7,6,2,1,2,1,34,25.2,-3
5,5,11/9/2006,21-314,2006,21,CLE,Home,CHI,W (+19),1,37:50:00,6,13,0.462,0,1,0,7,8,0.875,0,4,4,12,3,2,3,0,19,22.9,26
6,6,11/11/2006,21-316,2006,21,CLE,Home,BOS,W (+1),1,43:32:00,9,17,0.529,1,4,0.25,19,23,0.826,1,7,8,5,3,0,2,4,38,33.8,6
7,7,11/13/2006,21-318,2006,21,CLE,Away,NYK,W (+6),1,41:20:00,10,19,0.526,3,4,0.75,6,9,0.667,0,4,4,6,2,1,3,2,29,22.8,10
8,8,11/15/2006,21-320,2006,21,CLE,Home,POR,W (+13),1,38:54:00,10,15,0.667,3,6,0.5,9,11,0.818,0,7,7,7,2,1,4,2,32,29.6,16
9,9,11/17/2006,21-322,2006,21,CLE,Home,MIN,W (+16),1,40:30:00,12,24,0.5,2,5,0.4,11,14,0.786,2,7,9,6,1,2,4,1,37,29.5,12
